"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 09 04:13:32 UTC 2024","Fri Feb 09 04:13:46 UTC 2024","13886","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Fri Feb 09 03:10:29 UTC 2024","Fri Feb 09 03:10:29 UTC 2024","199","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Fri Feb 09 03:07:35 UTC 2024","Fri Feb 09 03:07:46 UTC 2024","11242","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Fri Feb 09 02:26:39 UTC 2024","Fri Feb 09 02:26:45 UTC 2024","5384","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Feb 09 02:49:00 UTC 2024","Fri Feb 09 02:49:06 UTC 2024","5968","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Fri Feb 09 03:10:27 UTC 2024","Fri Feb 09 03:10:29 UTC 2024","1407","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Fri Feb 09 02:53:07 UTC 2024","Fri Feb 09 02:53:27 UTC 2024","19474","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Fri Feb 09 03:40:10 UTC 2024","Fri Feb 09 03:40:13 UTC 2024","2983","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Fri Feb 09 02:23:08 UTC 2024","Fri Feb 09 02:24:10 UTC 2024","62193","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Fri Feb 09 02:48:57 UTC 2024","Fri Feb 09 02:49:00 UTC 2024","3260","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Fri Feb 09 04:24:53 UTC 2024","Fri Feb 09 04:24:55 UTC 2024","2411","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Fri Feb 09 02:49:09 UTC 2024","Fri Feb 09 02:50:06 UTC 2024","57282","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Fri Feb 09 03:54:53 UTC 2024","Fri Feb 09 03:55:02 UTC 2024","9118","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Fri Feb 09 02:47:58 UTC 2024","Fri Feb 09 02:48:03 UTC 2024","5182","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Feb 09 02:19:23 UTC 2024","Fri Feb 09 02:19:46 UTC 2024","23559","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Fri Feb 09 02:30:58 UTC 2024","Fri Feb 09 02:31:04 UTC 2024","5122","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Feb 09 02:19:46 UTC 2024","Fri Feb 09 02:20:12 UTC 2024","25812","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Fri Feb 09 02:46:03 UTC 2024","Fri Feb 09 02:46:22 UTC 2024","19171","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Feb 09 03:34:33 UTC 2024","Fri Feb 09 03:34:35 UTC 2024","1665","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Fri Feb 09 03:39:47 UTC 2024","Fri Feb 09 03:40:01 UTC 2024","13690","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Fri Feb 09 02:31:23 UTC 2024","Fri Feb 09 02:31:29 UTC 2024","6443","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Fri Feb 09 02:53:29 UTC 2024","Fri Feb 09 02:53:29 UTC 2024","365","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Feb 09 02:28:38 UTC 2024","Fri Feb 09 02:28:48 UTC 2024","9929","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
